country_id,party,cee,family,cmp_id,parlgov_id,manichean,indivisble,generalwill,peoplecentrism,antielitism,complex,emotional,lroverall,lrecon,immigration,eu,nativism,laworder,lifestyle,intradem,personalised,nr_experts,mean_expert_response,latent
SP,CC,0,8,33907.0,234.0,3.2,4.0,5.0,3.0,0.42857143,5.5,5.5,6.4545455,6.5555553,4.4000001,7.5,3.8,5.7142859,5.0,,5.25,11,5.9375,13.72204
SP,Cs,0,3,33420.0,2375.0,4.9000001,4.4545455,5.4545455,3.2727272999999997,2.4545455,5.181818,5.7272725,6.2727275,7.818182000000001,4.099999899999999,8.727273,5.4444447,6.0,5.7272725,3.6363637000000004,8.818182,11,10.75,18.003967000000003
SP,EAJPNV,0,8,33902.0,1361.0,5.4444447,4.75,6.0,3.7777777,1.8,6.0,6.5,6.181818,5.7272725,4.222222299999999,8.090909,6.625,5.1999998,4.3000002,3.7142856,5.0999999,11,9.4375,19.119896
SP,EHBildu,0,8,,845.0,7.5555553,5.777777700000001,7.0,7.5,7.0,3.5714285000000006,8.1000004,1.6363636000000001,2.0,6.0,3.625,7.0,1.7,8.3999996,5.8000002,3.8888887999999997,11,8.625,30.618961
SP,ERC,0,8,33905.0,757.0,7.4444447,6.777777700000001,8.2222223,7.0,5.5555553,4.0,8.8000002,3.0,3.1818182,5.4000001,6.181818,6.3333335,1.9090909,8.1000004,4.2857141,5.9000001,11,9.6875,30.734077000000003
SP,IU,0,6,33220.0,118.0,6.599999900000001,3.5454545,6.0,7.090909,8.0,4.7272725,6.727272500000001,1.6363636000000001,1.5454545,7.6363635,4.3636365,1.4,1.2727273000000001,8.818182,6.181818,4.2727275,11,10.875,27.485992
SP,PDeCAT,0,8,33911.0,2605.0,8.375,7.375,7.888888799999999,6.0,3.2,4.2857141,8.8888893,6.1999998,6.599999900000001,3.5555556000000004,7.333333500000001,7.5555553,4.8888888,4.0,2.25,7.4444447,11,8.875,28.844112
SP,PP,0,2,33610.0,645.0,5.4000001,5.181818,5.7272725,1.4545455,0.72727275,6.5454545,6.818182000000001,7.6363635,7.5454545,3.4545455,8.181818,6.3000002,7.5454545,1.9090909,1.3636363999999999,7.090909,11,10.875,16.151743
SP,PSOE,0,5,33320.0,902.0,4.4000001,2.8181818,4.6363635,3.2727272999999997,2.5454545,6.090909,5.3636365,4.2727275,4.5454545,5.818182,8.909091,2.9000001,3.7272727,7.3636365,5.0,6.181818,11,10.875,15.538953
SP,Podemos,0,6,33210.0,2376.0,7.099999900000001,5.090909,7.272727499999999,8.454545,9.090909,4.5454545,8.181818,1.5454545,1.5454545,7.4545455,5.2727275,1.4,1.0,9.0,7.0,8.272727,11,10.875,32.53614
