country,year,party_id,party,vote,govt,position,eu_salience,eu_asylum,eu_budgets,lrgen,immigra_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_position,multiculture_dissent,left_right,eu_salience_norm,eu_asylum_norm,eu_budgets_norm,lrgen_norm,immigra_salience_norm,people_vs_elite_norm,antielite_salience_norm,corrupt_salience_norm,members_vs_leadership_norm,position_norm,global
fr,2017,626,LREM,28.200001,.5,7,8.75,6.25,6.3000002,5.4736843,4.9473686,3.0999999,4.6999998,5.9499998,8.6499996,,,centre,.875,.625,.63,.54736841,.49473685,.31,.46999997,.59499997,.86499995,.69999999,.29457363
fr,2017,613,MODEM,4.0999999,.5,6.9499998,8.2105265,6,6.1666665,5.5263157,4.4117646,3.0555556,3.0526316,5.7368422,8.0588236,,,centre,.82105267,.60000002,.61666667,.55263156,.44117647,.30555555,.30526316,.57368422,.80588233,.69499999,.17048346
fr,2017,621,NC,,0,5.7222223,6.9411764,5.7692308,6.0769229,6.2352943,4.6923075,2.7692308,2.8571429,4.1538463,8.25,,,left,.69411767,.57692307,.6076923,.62352943,.46923074,.27692309,.2857143,.41538462,.82499999,.57222223,.16460906
fr,2017,601,PCF,2.7,0,2.5789473,5.1578946,4.2352943,1.8421053,1.2631578,4.5,6.3499999,6.5,6,6.1999998,,,left,.51578945,.42352945,.18421052,.12631579,.44999999,.63499999,.64999998,.60000002,.62,.25789472,.33333334
fr,2017,602,PS,7.4000001,.5,6.1052632,6.4000001,5.8000002,5,3.4210527,4.5,4.5,3.6500001,5,5.6842103,,,left,.63999999,.58000004,.5,.34210527,.44999999,.44999999,.36500001,.5,.56842101,.61052632,.16666667
it,2017,852,AP,,.5,6.1111112,5.9000001,6.1999998,4.818182,5.25,4.7272725,1.5,1.7,1.2,6.6666665,,,centre,.59000003,.62,.4818182,.52499998,.47272724,.15000001,.17,.12,.66666663,.6111111,
it,2017,843,CD,.5,0,6.909091,6.8000002,6.181818,5.5555553,4.6153846,4.625,2,1.4285715,3.125,7,,,centre,.68000001,.61818182,.55555552,.46153846,.46250001,.2,.14285715,.3125,.69999999,.69090909,.14285715
it,2017,815,FI,21.6,0,4.7142859,5.3076925,3.6428571,2.7142856,6.5333333,5.8666668,3.75,3.6153846,1.6666666,9.0769234,,,left,.53076923,.36428571,.27142856,.65333331,.5866667,.375,.36153847,.16666666,.90769231,.47142857,.13868614
it,2017,844,FdI,2,0,1.8571428,7.0769229,1.4166666,1.4666667,8.3999996,9.9333334,6.8333335,6.4615383,6.4166665,8.363636,,,right,.70769227,.14166667,.14666668,.83999997,.99333334,.68333334,.64615381,.64166665,.83636361,.18571427,.33333334
it,2017,811,LN,4.0999999,0,1.5,8.0714283,1.5,1.3333334,8.2666664,10,7.8333335,7.8461537,6.3333335,8.2307692,,,right,.80714285,.15000001,.13333334,.82666665,1,.78333336,.7846154,.63333333,.8230769,.15000001,.46830985
it,2017,845,M5S,25.6,0,2.6428571,6.5384617,3.2857144,1.8,5.1999998,4.8000002,9.75,10,10,8.3846149,,,centre,.65384614,.32857144,.17999999,.51999998,.48000002,.97500002,1,1,.83846152,.26428571,.82641512
it,2017,851,MDP,,0,5.3636365,5.5454545,6.25,4,2.2307692,6.2307692,2.4545455,1.8181819,4,5.7272725,,,left,.55454546,.625,.40000001,.22307691,.62307692,.24545455,.18181819,.40000001,.57272726,.53636366,
it,2017,837,PD,25.4,1,6.5,7.3846154,6.0666666,4.7142859,3.8,6.5333333,2.75,2.4615386,4,6.3846154,,,left,.73846155,.60666668,.47142857,.38,.65333331,.27500001,.24615386,.40000001,.63846153,.64999998,.14624506
it,2017,850,SI,,0,4.5,4.5999999,6.2727275,3,1.3636364,7.3636365,5.4444447,4,5.6666665,4.75,,,left,.45999998,.62727273,.30000001,.13636364,.73636365,.54444444,.40000001,.56666666,.47499999,.44999999,
it,2017,827,SVP,.40000001,0,6,4.8888888,4.3333335,6,4.5,2.6666667,1.6666666,.75,3,4.5,,,centre,.48888889,.43333334,.60000002,.44999999,.26666668,.16666666,.075000003,.30000001,.44999999,.60000002,
it,2017,814,UDC,1.8,0,6.0833335,5.090909,5.8000002,5.090909,5.2857141,3.75,1.6,1.6363636,2,7.090909,,,centre,.5090909,.58000004,.5090909,.52857143,.375,.16,.16363636,.2,.70909089,.60833335,.034965035
it,2017,847,VdA(UV),.0099999998,0,6,5.25,,,4.5,3,1,1,0,2,,,centre,.52499998,.001,.001,.44999999,.30000001,.1,.1,0,.2,.60000002,
nl,2017,1020,50PLUS,3.0999999,0,3.5555556,3.7692308,4,2.8,5.2307692,3.5454545,7.3000002,5.4545455,2.1818182,7.2857141,,,centre,.37692308,.40000001,.28,.52307689,.35454544,.73000002,.54545456,.21818182,.72857141,.35555556,.25823453
nl,2017,1001,CDA,12.4,.5,5.0666666,4.4285712,4.9166665,4.0999999,7,6.5,2.2,1.6428572,1.6363636,5.7692308,,,right,.44285712,.49166664,.41,.69999999,.64999998,.22,.16428572,.16363636,.57692307,.50666666,.088613205
nl,2017,1016,CU,3.4000001,.5,3.4285715,4.2857141,3.75,3.0999999,5,5.5,2.1538463,1.3571428,1.8181819,6.1538463,,,centre,.4285714,.375,.31,.5,.55000001,.21538463,.13571428,.18181819,.61538464,.34285715,
nl,2017,1004,D66,12.2,.5,6.8666668,7.8571429,6.6153846,6.2727275,5.4666667,6.7857141,5.4000001,2,1.8181819,3.9285715,,,centre,.78571427,.66153848,.62727273,.54666668,.6785714,.54000002,.2,.18181819,.39285713,.68666667,.069180429
nl,2017,1050,Denk,2.0999999,0,4.6666665,4.3076925,5,3.3333333,3.8333333,7.181818,5.5,5.5555553,2.2222223,7.6666665,,,left,.43076926,.5,.33333331,.38333333,.71818179,.55000001,.55555552,.22222224,.76666665,.46666664,.17777778
nl,2017,1051,FvD,1.8,0,1.1333333,8.2142859,1.1666666,1.0909091,9.5333338,9.4285717,9.8000002,9.5,6,8.833333,,,right,.8214286,.11666666,.10909091,.95333338,.94285715,.98000002,.94999999,.60000002,.88333333,.11333333,.53048778
nl,2017,1005,GL,9.1000004,0,6.3333335,6.3571429,6.1538463,5,2.5999999,7.7142859,5.2666669,2.6428571,1.9090909,2.7857144,,,left,.63571429,.61538464,.5,.25999999,.77142859,.5266667,.26428571,.19090909,.27857143,.63333333,.2045489
nl,2017,1017,PVV,13.1,0,1.0666667,8.0714283,1,1,9.2666664,10,9.666667,9.2857141,4.909091,10,,,right,.80714285,.1,.1,.92666662,1,.9666667,.9285714,.4909091,1,.10666667,.56177604
nl,2017,1002,PvdA,5.6999998,.5,5.5333333,4.7857141,5.5384617,4.909091,3.8666666,5.7142859,4.1999998,1.9230769,1.7272727,4.6923075,,,left,.47857141,.55384618,.4909091,.38666666,.5714286,.41999999,.19230768,.17272727,.46923074,.55333334,.12658228
nl,2017,1018,PvdD,3.2,0,3.3846154,4.8571429,3.5,2.75,2.7857144,3,6.5,3.1666667,2.0999999,6.5,,,left,.48571429,.34999999,.27500001,.27857143,.30000001,.64999998,.31666666,.20999999,.64999998,.33846155,.29838055
nl,2017,1006,SGP,2.0999999,0,2.5999999,3.8461537,2.125,2.2222223,7.9285712,5.4285712,1.4666667,1.0714285,1.7272727,7.5384617,,,right,.38461536,.21250001,.22222224,.79285711,.54285711,.14666668,.10714285,.17272727,.75384617,.25999999,.13037264
nl,2017,1014,SP,9.1000004,0,2.7333333,5.7857141,3.25,2,1.2666667,4.7142859,7.0666666,5.0714288,2.5454545,7.6428571,,,left,.57857144,.32499999,.2,.12666667,.47142857,.70666665,.5071429,.25454545,.76428568,.27333334,.48958954
nl,2017,1003,VVD,21.299999,1,4.8000002,4.7142859,4.5384617,3.7272727,7.8666668,7.5714288,2.8666666,1.5384616,1,6.3571429,,,right,.47142857,.45384616,.37272727,.78666669,.7571429,.28666666,.15384616,.1,.63571429,.48000002,.089311168
