party,year,score,orientation,counts,random_state
The Greens,2008.0,0.2318840579710145,Left-wing,69,17
The Greens,2017.0,0.2978723404255319,Left-wing,47,17
Austrian Freedom Party,2013.0,0.2,Right-wing,15,17
Austrian People’s Party,2002.0,0.2,Right-wing,10,17
Peter Pilz List,2017.0,0.2582417582417582,Left-wing,182,17
Austrian People’s Party,2006.0,0.2445887445887445,Right-wing,462,18
Austrian Social Democratic Party,2013.0,0.3285714285714285,Left-wing,70,18
Austrian Freedom Party,2017.0,0.5386363636363637,Right-wing,440,18
Austrian Social Democratic Party,2008.0,0.1348684210526315,Left-wing,304,18
Alliance for the Future of Austria,2008.0,0.5384615384615384,Right-wing,195,18
Austrian People’s Party,2013.0,0.308457711442786,Right-wing,201,18
Austrian People’s Party,2002.0,0.1991341991341991,Right-wing,231,18
Austrian Freedom Party,2013.0,0.5444444444444444,Right-wing,90,18
Austrian Communist Party,2008.0,0.1934306569343065,Left-wing,548,18
Austrian Social Democratic Party,2002.0,0.37,Left-wing,100,18
The Greens,2002.0,0.3161290322580645,Left-wing,155,18
Austrian Freedom Party,2002.0,0.410958904109589,Right-wing,146,18
The New Austria,2013.0,0.2666666666666666,Other,135,18
Alliance for the Future of Austria,2006.0,0.4895833333333333,Right-wing,192,18
Austrian People’s Party,2008.0,0.4,Right-wing,60,18
Team Stronach for Austria,2013.0,0.5483870967741935,Right-wing,186,18
The Greens,2013.0,0.3404255319148936,Left-wing,94,18
Austrian Freedom Party,2006.0,0.4137931034482758,Right-wing,29,18
The New Austria,2017.0,0.1692307692307692,Other,65,18
The Greens,2006.0,0.2586206896551724,Left-wing,58,18
The Greens,2017.0,0.1016949152542373,Left-wing,59,18
The Greens,2008.0,0.1590909090909091,Left-wing,44,18
Austrian Social Democratic Party,2006.0,0.4545454545454545,Left-wing,11,18
Austrian People’s Party,2017.0,0.1777777777777777,Right-wing,45,18
Austrian Social Democratic Party,2017.0,0.1904761904761904,Left-wing,21,18
Austrian Freedom Party,2008.0,0.8571428571428571,Right-wing,7,18
Peter Pilz List,2017.0,0.2407407407407407,Left-wing,1026,18
Austrian Communist Party,2008.0,0.3076923076923077,Left-wing,65,19
Austrian Social Democratic Party,2006.0,0.2180451127819548,Left-wing,133,19
Austrian Freedom Party,2017.0,0.4978540772532189,Right-wing,466,19
Austrian Social Democratic Party,2002.0,0.2,Left-wing,135,19
Team Stronach for Austria,2013.0,0.6628895184135978,Right-wing,353,19
Austrian People’s Party,2008.0,0.239463601532567,Right-wing,522,19
The Greens,2013.0,0.2571428571428571,Left-wing,175,19
Austrian People’s Party,2017.0,0.2857142857142857,Right-wing,182,19
The Greens,2017.0,0.3538461538461538,Left-wing,65,19
Alliance for the Future of Austria,2006.0,0.3529411764705882,Right-wing,68,19
The Greens,2008.0,0.2832244008714596,Left-wing,459,19
Austrian People’s Party,2013.0,0.28125,Right-wing,320,19
Austrian Freedom Party,2002.0,0.4170616113744075,Right-wing,211,19
The New Austria,2017.0,0.25,Other,140,19
Austrian Social Democratic Party,2013.0,0.2298850574712643,Left-wing,87,19
The New Austria,2013.0,0.3493975903614458,Other,83,19
Austrian Freedom Party,2008.0,0.5205479452054794,Right-wing,219,19
The Greens,2002.0,0.28,Left-wing,50,19
Austrian Freedom Party,2013.0,0.6808510638297872,Right-wing,47,19
Austrian People’s Party,2002.0,0.2777777777777778,Right-wing,18,19
Austrian Freedom Party,2006.0,0.5116279069767442,Right-wing,86,19
Alliance for the Future of Austria,2008.0,0.4074074074074074,Right-wing,27,19
Austrian Social Democratic Party,2008.0,0.4047619047619047,Left-wing,42,19
Austrian Social Democratic Party,2017.0,0.2409638554216867,Left-wing,83,19
Austrian People’s Party,2006.0,0.0,Right-wing,10,19
The Greens,2006.0,0.1,Left-wing,10,19
Peter Pilz List,2017.0,0.2962406015037594,Left-wing,665,19
Team Stronach for Austria,2013.0,0.5458715596330275,Right-wing,436,20
Austrian Freedom Party,2002.0,0.6561338289962825,Right-wing,538,20
Austrian Freedom Party,2017.0,0.4571428571428571,Right-wing,70,20
Austrian Freedom Party,2008.0,0.4860335195530726,Right-wing,179,20
Austrian People’s Party,2006.0,0.4300518134715025,Right-wing,193,20
The Greens,2002.0,0.267741935483871,Left-wing,310,20
Austrian Social Democratic Party,2008.0,0.3402777777777778,Left-wing,144,20
Austrian Freedom Party,2013.0,0.509090909090909,Right-wing,55,20
Alliance for the Future of Austria,2008.0,0.3552631578947368,Right-wing,152,20
Austrian People’s Party,2013.0,0.1944444444444444,Right-wing,72,20
Austrian Social Democratic Party,2006.0,0.3481012658227848,Left-wing,474,20
The Greens,2008.0,0.28,Left-wing,50,20
The New Austria,2017.0,0.3555555555555555,Other,90,20
Austrian Communist Party,2008.0,0.2803738317757009,Left-wing,214,20
The Greens,2006.0,0.3432835820895522,Left-wing,134,20
Austrian Freedom Party,2006.0,0.6,Right-wing,90,20
The New Austria,2013.0,0.3877551020408163,Other,49,20
The Greens,2017.0,0.1507692307692307,Left-wing,325,20
Austrian People’s Party,2017.0,0.327683615819209,Right-wing,177,20
Austrian Social Democratic Party,2017.0,0.5,Left-wing,12,20
Alliance for the Future of Austria,2006.0,0.5684210526315789,Right-wing,95,20
The Greens,2013.0,0.4477611940298507,Left-wing,67,20
Austrian Social Democratic Party,2002.0,0.3333333333333333,Left-wing,78,20
Austrian Social Democratic Party,2013.0,0.4666666666666667,Left-wing,15,20
Austrian People’s Party,2002.0,0.5769230769230769,Right-wing,26,20
Austrian People’s Party,2008.0,0.2941176470588235,Right-wing,17,20
Peter Pilz List,2017.0,0.5046439628482973,Left-wing,646,20
The Greens,2006.0,0.2106481481481481,Left-wing,432,21
The Greens,2008.0,0.3246753246753247,Left-wing,77,21
Austrian Freedom Party,2017.0,0.5245901639344263,Right-wing,183,21
The Greens,2017.0,0.1826923076923076,Left-wing,104,21
Austrian Freedom Party,2013.0,0.7151335311572701,Right-wing,337,21
Austrian Communist Party,2008.0,0.2385321100917431,Left-wing,218,21
Austrian People’s Party,2017.0,0.2784552845528455,Right-wing,492,21
Alliance for the Future of Austria,2006.0,0.3034482758620689,Right-wing,145,21
The New Austria,2013.0,0.238341968911917,Other,193,21
Team Stronach for Austria,2013.0,0.5975609756097561,Right-wing,82,21
Austrian People’s Party,2008.0,0.2261306532663316,Right-wing,199,21
Austrian People’s Party,2013.0,0.299492385786802,Right-wing,197,21
Austrian Freedom Party,2002.0,0.3484848484848485,Right-wing,132,21
Austrian Freedom Party,2008.0,0.5227272727272727,Right-wing,44,21
Alliance for the Future of Austria,2008.0,0.5349301397205589,Right-wing,501,21
Austrian Social Democratic Party,2013.0,0.160919540229885,Left-wing,87,21
Austrian Social Democratic Party,2002.0,0.2933333333333333,Left-wing,75,21
Austrian People’s Party,2002.0,0.2708333333333333,Right-wing,144,21
The Greens,2002.0,0.4727272727272727,Left-wing,55,21
The New Austria,2017.0,0.3,Other,20,21
The Greens,2013.0,0.1492537313432835,Left-wing,67,21
Austrian Freedom Party,2006.0,0.4444444444444444,Right-wing,63,21
Austrian Social Democratic Party,2017.0,0.1818181818181818,Left-wing,55,21
Austrian People’s Party,2006.0,0.4166666666666667,Right-wing,12,21
Austrian Social Democratic Party,2006.0,0.4545454545454545,Left-wing,22,21
Austrian Social Democratic Party,2008.0,0.0,Left-wing,12,21
Peter Pilz List,2017.0,0.3576998050682261,Left-wing,1026,21
Austrian Freedom Party,2008.0,0.6286266924564797,Right-wing,517,22
Austrian Social Democratic Party,2002.0,0.1446153846153846,Left-wing,325,22
Austrian Social Democratic Party,2013.0,0.25,Left-wing,196,22
Austrian Freedom Party,2002.0,0.3255813953488372,Right-wing,43,22
Alliance for the Future of Austria,2006.0,0.4054054054054054,Right-wing,222,22
Austrian People’s Party,2006.0,0.375,Right-wing,16,22
Austrian Social Democratic Party,2008.0,0.2603938730853392,Left-wing,457,22
The Greens,2002.0,0.3014354066985646,Left-wing,418,22
The Greens,2008.0,0.2088607594936709,Left-wing,316,22
Austrian People’s Party,2008.0,0.2878048780487804,Right-wing,205,22
The Greens,2006.0,0.25,Left-wing,228,22
Austrian Freedom Party,2006.0,0.4407894736842105,Right-wing,152,22
Austrian People’s Party,2017.0,0.3208955223880597,Right-wing,134,22
Alliance for the Future of Austria,2008.0,0.5903614457831325,Right-wing,83,22
The Greens,2017.0,0.3098591549295774,Left-wing,71,22
Austrian Communist Party,2008.0,0.4310344827586206,Left-wing,58,22
The New Austria,2017.0,0.2564102564102564,Other,78,22
Austrian Social Democratic Party,2017.0,0.296875,Left-wing,64,22
The New Austria,2013.0,0.2624113475177305,Other,141,22
Austrian Freedom Party,2017.0,0.3942307692307692,Right-wing,208,22
The Greens,2013.0,0.3134328358208955,Left-wing,67,22
Austrian Freedom Party,2013.0,0.4186046511627907,Right-wing,43,22
Team Stronach for Austria,2013.0,0.5135135135135135,Right-wing,111,22
Austrian Social Democratic Party,2006.0,0.3809523809523809,Left-wing,21,22
Austrian People’s Party,2002.0,0.1428571428571428,Right-wing,7,22
Austrian People’s Party,2013.0,0.375,Right-wing,8,22
Peter Pilz List,2017.0,0.3076923076923077,Left-wing,221,22
Austrian People’s Party,2006.0,0.236734693877551,Right-wing,490,23
Austrian Communist Party,2008.0,0.1978021978021978,Left-wing,546,23
The New Austria,2013.0,0.3131868131868132,Other,182,23
Austrian Freedom Party,2017.0,0.4,Right-wing,60,23
Austrian People’s Party,2002.0,0.25,Right-wing,36,23
Alliance for the Future of Austria,2006.0,0.5219941348973607,Right-wing,341,23
Austrian People’s Party,2013.0,0.2354740061162079,Right-wing,327,23
The Greens,2008.0,0.4046511627906977,Left-wing,215,23
The Greens,2002.0,0.2,Left-wing,50,23
The Greens,2013.0,0.4393063583815029,Left-wing,173,23
The New Austria,2017.0,0.2284263959390862,Other,197,23
Alliance for the Future of Austria,2008.0,0.5697674418604651,Right-wing,86,23
Austrian Social Democratic Party,2002.0,0.3818181818181818,Left-wing,220,23
Austrian People’s Party,2017.0,0.3225806451612903,Right-wing,62,23
Austrian Freedom Party,2002.0,0.6814814814814815,Right-wing,135,23
Austrian Social Democratic Party,2013.0,0.4444444444444444,Left-wing,135,23
Austrian Freedom Party,2008.0,0.5215419501133787,Right-wing,441,23
The Greens,2017.0,0.119047619047619,Left-wing,42,23
Austrian Social Democratic Party,2006.0,0.1458333333333333,Left-wing,96,23
The Greens,2006.0,0.5714285714285714,Left-wing,7,23
Team Stronach for Austria,2013.0,0.5211267605633803,Right-wing,71,23
Austrian Social Democratic Party,2017.0,0.3936170212765957,Left-wing,94,23
Austrian People’s Party,2008.0,0.238095238095238,Right-wing,63,23
Austrian Social Democratic Party,2008.0,0.4233576642335766,Left-wing,137,23
Austrian Freedom Party,2013.0,0.4117647058823529,Right-wing,17,23
Austrian Freedom Party,2006.0,0.5,Right-wing,10,23
Peter Pilz List,2017.0,0.2631578947368421,Left-wing,76,23
Austrian Social Democratic Party,2013.0,0.2216494845360824,Left-wing,194,24
Alliance for the Future of Austria,2008.0,0.5232558139534884,Right-wing,86,24
The Greens,2002.0,0.3089005235602094,Left-wing,191,24
Austrian People’s Party,2013.0,0.2437810945273631,Right-wing,201,24
Team Stronach for Austria,2013.0,0.4923076923076923,Right-wing,130,24
Austrian Freedom Party,2008.0,0.4510869565217391,Right-wing,184,24
Austrian Freedom Party,2013.0,0.6452599388379205,Right-wing,327,24
Alliance for the Future of Austria,2006.0,0.5476190476190477,Right-wing,546,24
The Greens,2013.0,0.3552036199095023,Left-wing,442,24
Austrian Freedom Party,2017.0,0.3636363636363636,Right-wing,154,24
Austrian Social Democratic Party,2008.0,0.3454545454545454,Left-wing,55,24
Austrian People’s Party,2002.0,0.3653444676409186,Right-wing,479,24
The Greens,2006.0,0.3865814696485623,Left-wing,313,24
Austrian Social Democratic Party,2006.0,0.1527777777777778,Left-wing,72,24
Austrian People’s Party,2017.0,0.1728395061728395,Right-wing,81,24
Austrian Social Democratic Party,2002.0,0.4523809523809524,Left-wing,84,24
Austrian Freedom Party,2002.0,0.6404494382022472,Right-wing,89,24
Austrian Freedom Party,2006.0,0.5140845070422535,Right-wing,142,24
Austrian People’s Party,2008.0,0.2333333333333333,Right-wing,30,24
Austrian Communist Party,2008.0,0.1136363636363636,Left-wing,44,24
The New Austria,2017.0,0.2692307692307692,Other,52,24
The Greens,2017.0,0.3333333333333333,Left-wing,54,24
The New Austria,2013.0,0.3125,Other,224,24
Austrian People’s Party,2006.0,0.2,Right-wing,20,24
Austrian Social Democratic Party,2017.0,0.2941176470588235,Left-wing,17,24
The Greens,2008.0,0.5,Left-wing,2,24
Peter Pilz List,2017.0,0.3402777777777778,Left-wing,144,24
The Greens,2002.0,0.3402777777777778,Left-wing,144,25
Alliance for the Future of Austria,2008.0,0.7626112759643917,Right-wing,337,25
The Greens,2013.0,0.182648401826484,Left-wing,438,25
Austrian Social Democratic Party,2013.0,0.1627408993576017,Left-wing,467,25
Austrian People’s Party,2013.0,0.1944444444444444,Right-wing,540,25
Austrian Communist Party,2008.0,0.4207920792079208,Left-wing,202,25
Austrian People’s Party,2002.0,0.3478260869565217,Right-wing,69,25
Austrian People’s Party,2008.0,0.2067039106145251,Right-wing,179,25
Austrian Freedom Party,2006.0,0.5900621118012422,Right-wing,322,25
The New Austria,2017.0,0.1690140845070422,Other,213,25
The Greens,2008.0,0.1714285714285714,Left-wing,175,25
Austrian Freedom Party,2017.0,0.5471698113207547,Right-wing,53,25
The New Austria,2013.0,0.0714285714285714,Other,14,25
Austrian People’s Party,2006.0,0.4520547945205479,Right-wing,73,25
Austrian Freedom Party,2013.0,0.5384615384615384,Right-wing,195,25
Austrian People’s Party,2017.0,0.2275862068965517,Right-wing,145,25
Austrian Freedom Party,2008.0,0.6585365853658537,Right-wing,82,25
The Greens,2006.0,0.5135135135135135,Left-wing,37,25
Austrian Social Democratic Party,2008.0,0.1375,Left-wing,80,25
The Greens,2017.0,0.369047619047619,Left-wing,84,25
Team Stronach for Austria,2013.0,0.3167701863354037,Right-wing,161,25
Alliance for the Future of Austria,2006.0,0.8095238095238095,Right-wing,21,25
Austrian Social Democratic Party,2017.0,0.4074074074074074,Left-wing,54,25
Austrian Social Democratic Party,2002.0,0.2666666666666666,Left-wing,60,25
Austrian Social Democratic Party,2006.0,0.0555555555555555,Left-wing,18,25
Austrian Freedom Party,2002.0,0.2857142857142857,Right-wing,7,25
Peter Pilz List,2017.0,0.1951219512195122,Left-wing,287,25
Austrian Social Democratic Party,2013.0,0.2761692650334075,Left-wing,449,26
Alliance for the Future of Austria,2008.0,0.634508348794063,Right-wing,539,26
Austrian People’s Party,2017.0,0.2576687116564417,Right-wing,163,26
Austrian Freedom Party,2006.0,0.3333333333333333,Right-wing,84,26
The Greens,2006.0,0.2558139534883721,Left-wing,43,26
Austrian Social Democratic Party,2002.0,0.1598173515981735,Left-wing,219,26
Austrian People’s Party,2013.0,0.1891891891891892,Right-wing,74,26
Austrian People’s Party,2006.0,0.2222222222222222,Right-wing,18,26
Austrian Social Democratic Party,2017.0,0.1597222222222222,Left-wing,144,26
The Greens,2017.0,0.2215189873417721,Left-wing,158,26
The Greens,2002.0,0.1624203821656051,Left-wing,314,26
Austrian Social Democratic Party,2006.0,0.256544502617801,Left-wing,191,26
The New Austria,2017.0,0.2474226804123711,Other,194,26
Alliance for the Future of Austria,2006.0,0.3088235294117647,Right-wing,68,26
Austrian People’s Party,2008.0,0.1772151898734177,Right-wing,79,26
Austrian People’s Party,2002.0,0.1258503401360544,Right-wing,294,26
Austrian Social Democratic Party,2008.0,0.1979695431472081,Left-wing,197,26
The New Austria,2013.0,0.2083333333333333,Other,24,26
Austrian Freedom Party,2008.0,0.3055555555555556,Right-wing,72,26
Austrian Freedom Party,2017.0,0.2575757575757575,Right-wing,66,26
Austrian Freedom Party,2013.0,0.3681592039800995,Right-wing,201,26
The Greens,2008.0,0.34,Left-wing,50,26
Team Stronach for Austria,2013.0,0.225,Right-wing,80,26
Austrian Freedom Party,2002.0,0.1794871794871795,Right-wing,39,26
Austrian Communist Party,2008.0,0.1666666666666666,Left-wing,6,26
The Greens,2013.0,0.1111111111111111,Left-wing,9,26
Peter Pilz List,2017.0,0.4192139737991266,Left-wing,1603,26
Austrian Social Democratic Party,2013.0,0.2588495575221239,Left-wing,452,27
Austrian Social Democratic Party,2017.0,0.2585365853658536,Left-wing,205,27
Austrian People’s Party,2008.0,0.2056737588652482,Right-wing,564,27
Austrian Social Democratic Party,2006.0,0.2879818594104308,Left-wing,441,27
Austrian People’s Party,2013.0,0.2943925233644859,Right-wing,214,27
The New Austria,2013.0,0.3421052631578947,Other,76,27
Austrian Freedom Party,2002.0,0.5370370370370371,Right-wing,108,27
The New Austria,2017.0,0.1956521739130435,Other,322,27
Austrian Communist Party,2008.0,0.3333333333333333,Left-wing,186,27
Austrian Social Democratic Party,2002.0,0.3472222222222222,Left-wing,72,27
The Greens,2017.0,0.2375,Left-wing,80,27
Austrian Social Democratic Party,2008.0,0.6590909090909091,Left-wing,88,27
The Greens,2013.0,0.3409090909090909,Left-wing,88,27
The Greens,2008.0,0.2949308755760368,Left-wing,217,27
Austrian People’s Party,2002.0,0.196078431372549,Right-wing,51,27
Austrian People’s Party,2017.0,0.3488372093023256,Right-wing,43,27
The Greens,2002.0,0.1578947368421052,Left-wing,57,27
Austrian People’s Party,2006.0,0.1827956989247312,Right-wing,93,27
The Greens,2006.0,0.238095238095238,Left-wing,21,27
Austrian Freedom Party,2008.0,0.5555555555555556,Right-wing,135,27
Team Stronach for Austria,2013.0,0.5,Right-wing,154,27
Austrian Freedom Party,2017.0,0.7142857142857143,Right-wing,14,27
Austrian Freedom Party,2006.0,0.4516129032258064,Right-wing,186,27
Alliance for the Future of Austria,2008.0,0.6666666666666666,Right-wing,15,27
Austrian Freedom Party,2013.0,0.4285714285714285,Right-wing,56,27
Alliance for the Future of Austria,2006.0,0.4,Right-wing,10,27
Peter Pilz List,2017.0,0.3265107212475633,Left-wing,1026,27
Austrian Freedom Party,2013.0,0.4076576576576576,Right-wing,444,28
Austrian Freedom Party,2017.0,0.4641148325358851,Right-wing,209,28
Austrian Social Democratic Party,2017.0,0.4096385542168674,Left-wing,83,28
The New Austria,2017.0,0.1583793738489871,Other,543,28
The New Austria,2013.0,0.1578947368421052,Other,190,28
Austrian People’s Party,2006.0,0.3027522935779816,Right-wing,218,28
The Greens,2013.0,0.2689655172413793,Left-wing,145,28
Austrian People’s Party,2002.0,0.1623762376237623,Right-wing,505,28
The Greens,2006.0,0.275,Left-wing,80,28
The Greens,2002.0,0.1854103343465045,Left-wing,329,28
Austrian Social Democratic Party,2008.0,0.1578947368421052,Left-wing,19,28
Austrian Social Democratic Party,2013.0,0.25,Left-wing,32,28
Austrian Freedom Party,2008.0,0.4586466165413533,Right-wing,133,28
Alliance for the Future of Austria,2006.0,0.5078864353312302,Right-wing,317,28
Austrian People’s Party,2008.0,0.2463768115942029,Right-wing,69,28
Austrian Communist Party,2008.0,0.2285714285714285,Left-wing,70,28
Austrian Social Democratic Party,2002.0,0.3201970443349753,Left-wing,203,28
The Greens,2008.0,0.3722627737226277,Left-wing,137,28
Austrian Social Democratic Party,2006.0,0.2447916666666666,Left-wing,192,28
The Greens,2017.0,0.1951219512195122,Left-wing,41,28
Austrian Freedom Party,2006.0,0.3333333333333333,Right-wing,51,28
Austrian Freedom Party,2002.0,0.5681818181818182,Right-wing,44,28
Alliance for the Future of Austria,2008.0,0.3636363636363636,Right-wing,11,28
Austrian People’s Party,2017.0,0.3265306122448979,Right-wing,98,28
Team Stronach for Austria,2013.0,0.6,Right-wing,15,28
Austrian People’s Party,2013.0,0.2222222222222222,Right-wing,9,28
Peter Pilz List,2017.0,0.3930131004366812,Left-wing,229,28
Alliance for the Future of Austria,2006.0,0.4245283018867924,Right-wing,212,29
Austrian Freedom Party,2008.0,0.582089552238806,Right-wing,201,29
The New Austria,2017.0,0.2163636363636363,Other,550,29
Austrian Freedom Party,2006.0,0.4626865671641791,Right-wing,67,29
Austrian People’s Party,2006.0,0.25,Right-wing,496,29
The Greens,2002.0,0.1818181818181818,Left-wing,297,29
Austrian Social Democratic Party,2017.0,0.2763157894736842,Left-wing,304,29
Team Stronach for Austria,2013.0,0.5277777777777778,Right-wing,144,29
Austrian Freedom Party,2002.0,0.475,Right-wing,40,29
Alliance for the Future of Austria,2008.0,0.5753424657534246,Right-wing,146,29
Austrian Social Democratic Party,2008.0,0.3265306122448979,Left-wing,98,29
Austrian People’s Party,2002.0,0.2046511627906976,Right-wing,215,29
Austrian People’s Party,2017.0,0.6,Right-wing,10,29
Austrian Freedom Party,2017.0,0.4538461538461538,Right-wing,130,29
The Greens,2008.0,0.4736842105263157,Left-wing,19,29
Austrian Freedom Party,2013.0,0.5614973262032086,Right-wing,187,29
Austrian Social Democratic Party,2002.0,0.1276595744680851,Left-wing,47,29
The Greens,2017.0,0.2465753424657534,Left-wing,73,29
The New Austria,2013.0,0.2328767123287671,Other,73,29
Austrian Social Democratic Party,2013.0,0.1777777777777777,Left-wing,45,29
Austrian People’s Party,2013.0,0.2842105263157894,Right-wing,190,29
Austrian Communist Party,2008.0,0.2574257425742574,Left-wing,101,29
Austrian People’s Party,2008.0,0.5176470588235295,Right-wing,85,29
The Greens,2006.0,0.4117647058823529,Left-wing,17,29
The Greens,2013.0,0.2622950819672131,Left-wing,61,29
Austrian Social Democratic Party,2006.0,0.6666666666666666,Left-wing,9,29
Peter Pilz List,2017.0,0.305327868852459,Left-wing,1464,29
Alliance for the Future of Austria,2006.0,0.7062706270627063,Right-wing,303,30
Austrian Social Democratic Party,2006.0,0.3105263157894737,Left-wing,190,30
Austrian Communist Party,2008.0,0.3933333333333333,Left-wing,150,30
Austrian People’s Party,2013.0,0.2316258351893095,Right-wing,449,30
Austrian Social Democratic Party,2017.0,0.3920265780730897,Left-wing,301,30
Austrian Freedom Party,2013.0,0.627147766323024,Right-wing,582,30
Austrian Freedom Party,2006.0,0.4685990338164251,Right-wing,207,30
The Greens,2008.0,0.1919191919191919,Left-wing,198,30
The New Austria,2013.0,0.3275488069414317,Other,461,30
The Greens,2013.0,0.4242424242424242,Left-wing,66,30
The New Austria,2017.0,0.431924882629108,Other,213,30
Austrian Social Democratic Party,2002.0,0.3125,Left-wing,128,30
Austrian Freedom Party,2008.0,0.3820224719101123,Right-wing,89,30
The Greens,2002.0,0.0897435897435897,Left-wing,78,30
Austrian Social Democratic Party,2008.0,0.3809523809523809,Left-wing,42,30
The Greens,2006.0,0.2786885245901639,Left-wing,61,30
Austrian People’s Party,2017.0,0.490566037735849,Right-wing,53,30
Austrian Freedom Party,2002.0,0.3862068965517241,Right-wing,145,30
Alliance for the Future of Austria,2008.0,0.65,Right-wing,80,30
Austrian People’s Party,2002.0,0.35,Right-wing,60,30
Austrian People’s Party,2006.0,0.174757281553398,Right-wing,103,30
Austrian Social Democratic Party,2013.0,0.25,Left-wing,20,30
Austrian Freedom Party,2017.0,0.5365853658536586,Right-wing,41,30
Team Stronach for Austria,2013.0,0.5,Right-wing,20,30
Austrian People’s Party,2008.0,0.0909090909090909,Right-wing,11,30
The Greens,2017.0,0.0909090909090909,Left-wing,11,30
Peter Pilz List,2017.0,0.3885448916408668,Left-wing,646,30
The Greens,2006.0,0.3846153846153846,Left-wing,65,31
The New Austria,2017.0,0.1684981684981685,Other,546,31
Austrian Freedom Party,2008.0,0.5802469135802469,Right-wing,81,31
The Greens,2013.0,0.3119266055045872,Left-wing,218,31
The Greens,2008.0,0.3085106382978723,Left-wing,188,31
Austrian Freedom Party,2013.0,0.5399361022364217,Right-wing,313,31
The Greens,2002.0,0.2758620689655172,Left-wing,87,31
Austrian People’s Party,2013.0,0.2611940298507462,Right-wing,134,31
Team Stronach for Austria,2013.0,0.4925373134328358,Right-wing,67,31
The Greens,2017.0,0.2923076923076923,Left-wing,195,31
Austrian Social Democratic Party,2017.0,0.1581108829568788,Left-wing,487,31
Austrian Social Democratic Party,2006.0,0.3144329896907216,Left-wing,194,31
Austrian People’s Party,2006.0,0.2913385826771653,Right-wing,127,31
Alliance for the Future of Austria,2008.0,0.5,Right-wing,54,31
Austrian People’s Party,2017.0,0.311178247734139,Right-wing,331,31
Austrian Social Democratic Party,2008.0,0.1890547263681592,Left-wing,201,31
Austrian People’s Party,2008.0,0.3793103448275862,Right-wing,87,31
Austrian Social Democratic Party,2002.0,0.2,Left-wing,20,31
The New Austria,2013.0,0.28125,Other,64,31
Austrian People’s Party,2002.0,0.3571428571428571,Right-wing,56,31
Austrian Freedom Party,2006.0,0.5238095238095238,Right-wing,42,31
Austrian Social Democratic Party,2013.0,0.3014705882352941,Left-wing,136,31
Austrian Freedom Party,2017.0,0.5421686746987951,Right-wing,83,31
Austrian Communist Party,2008.0,0.0,Left-wing,8,31
Alliance for the Future of Austria,2006.0,0.4545454545454545,Right-wing,11,31
Austrian Freedom Party,2002.0,0.4545454545454545,Right-wing,22,31
Peter Pilz List,2017.0,0.3019125683060109,Left-wing,1464,31
Austrian Freedom Party,2013.0,0.5986547085201793,Right-wing,446,32
The New Austria,2017.0,0.2939130434782608,Other,575,32
Austrian Freedom Party,2008.0,0.6077235772357723,Right-wing,492,32
Austrian People’s Party,2008.0,0.2156862745098039,Right-wing,204,32
The Greens,2002.0,0.3555555555555555,Left-wing,180,32
Austrian Freedom Party,2006.0,0.4110429447852761,Right-wing,163,32
The New Austria,2013.0,0.3619631901840491,Other,163,32
The Greens,2008.0,0.3114754098360656,Left-wing,61,32
Austrian Social Democratic Party,2006.0,0.3150684931506849,Left-wing,146,32
Austrian Social Democratic Party,2017.0,0.5291005291005291,Left-wing,189,32
Austrian People’s Party,2013.0,0.2490842490842491,Right-wing,273,32
Austrian Freedom Party,2017.0,0.3857142857142857,Right-wing,210,32
Austrian Freedom Party,2002.0,0.4567901234567901,Right-wing,81,32
Austrian Social Democratic Party,2013.0,0.3783783783783784,Left-wing,148,32
The Greens,2017.0,0.1826086956521739,Left-wing,345,32
Alliance for the Future of Austria,2008.0,0.5,Right-wing,80,32
Austrian Social Democratic Party,2008.0,0.1818181818181818,Left-wing,66,32
Team Stronach for Austria,2013.0,0.25,Right-wing,24,32
Austrian Communist Party,2008.0,0.6206896551724138,Left-wing,58,32
Austrian Social Democratic Party,2002.0,0.4390243902439024,Left-wing,82,32
The Greens,2006.0,0.25,Left-wing,80,32
Austrian People’s Party,2017.0,0.1904761904761904,Right-wing,42,32
Austrian People’s Party,2002.0,0.1666666666666666,Right-wing,18,32
Austrian People’s Party,2006.0,0.3,Right-wing,10,32
The Greens,2013.0,0.2608695652173913,Left-wing,46,32
Alliance for the Future of Austria,2006.0,0.7142857142857143,Right-wing,7,32
Peter Pilz List,2017.0,0.4072398190045249,Left-wing,221,32
Austrian Freedom Party,2017.0,0.4603174603174603,Right-wing,189,33
Austrian Freedom Party,2008.0,0.655688622754491,Right-wing,334,33
Austrian People’s Party,2002.0,0.2962962962962963,Right-wing,54,33
The Greens,2013.0,0.3353658536585366,Left-wing,164,33
The Greens,2008.0,0.2369942196531791,Left-wing,173,33
Austrian Freedom Party,2002.0,0.37,Right-wing,100,33
Austrian People’s Party,2017.0,0.2,Right-wing,495,33
Austrian Freedom Party,2006.0,0.2857142857142857,Right-wing,7,33
Austrian People’s Party,2013.0,0.2058823529411764,Right-wing,204,33
The New Austria,2013.0,0.2024539877300613,Other,163,33
The Greens,2017.0,0.1830985915492957,Left-wing,213,33
Austrian People’s Party,2006.0,0.1581920903954802,Right-wing,531,33
Austrian Social Democratic Party,2017.0,0.1940298507462686,Left-wing,67,33
Austrian Social Democratic Party,2013.0,0.2925170068027211,Left-wing,147,33
Austrian Social Democratic Party,2002.0,0.2410714285714285,Left-wing,336,33
