party,score,orientation,counts
Party of Democratic Socialism,0.3514644351464435,Left-wing,239
Alternative for Germany,0.4134078212290503,Right-wing,179
Christian Democratic Union-Christian Social Union,0.09482758620689655,Right-wing,1276
The Left,0.584297520661157,Left-wing,1210
Free Democratic Party,0.13305736250739209,Right-wing,1691
Alliance‘90-Greens,0.17744418783679752,Left-wing,2598
Social Democratic Party of Germany,0.14807436918990705,Left-wing,1506
Pirates,0.2767402376910017,Other,1178
