party,score,orientation,counts
The New Austria,0.1875,Other,208
The Greens,0.16045197740112993,Left-wing,885
Austrian Communist Party,0.2727272727272727,Left-wing,11
Alliance for the Future of Austria,0.45689655172413796,Right-wing,116
Austrian Freedom Party,0.5912698412698413,Right-wing,504
Team Stronach for Austria,0.44387755102040816,Right-wing,196
Austrian People’s Party,0.16857360793287568,Right-wing,1311
Austrian Social Democratic Party,0.15748031496062992,Left-wing,1016
Peter Pilz List,0.17857142857142858,Left-wing,28
